ClassName,Type,ReportedName,DerivedDisplayName,DisplayName,Suppressed,Discovered,Changed
io.swagger.codegen.languages.ScalazClientCodegen,CLIENT,scalaz,Scalaz Client,,,*,
io.swagger.codegen.languages.SilexServerCodegen,SERVER,php-silex,Silex Server,,,*,
io.swagger.codegen.languages.SinatraServerCodegen,SERVER,sinatra,Sinatra Server,,,*,
io.swagger.codegen.languages.SlimFrameworkServerCodegen,SERVER,slim,Slim Framework Server,,,*,
io.swagger.codegen.languages.SpringCodegen,SERVER,spring,Spring Server,,,*,
io.swagger.codegen.languages.StaticDocCodegen,DOCUMENTATION,dynamic-html,Static Documentation,,,*,
io.swagger.codegen.languages.StaticHtml2Generator,DOCUMENTATION,html2,Static Html2 Documentation,,,*,
io.swagger.codegen.languages.StaticHtmlGenerator,DOCUMENTATION,html,Static Html Documentation,,,*,
io.swagger.codegen.languages.SwaggerGenerator,DOCUMENTATION,swagger,Swagger Documentation,,,*,
io.swagger.codegen.languages.SwaggerYamlGenerator,DOCUMENTATION,swagger-yaml,Swagger Yaml Documentation,,,*,
io.swagger.codegen.languages.Swift3Codegen,CLIENT,swift3,Swift3 Client,,,*,
io.swagger.codegen.languages.Swift4Codegen,CLIENT,swift4,Swift4 Client,,,*,
io.swagger.codegen.languages.SwiftCodegen,CLIENT,swift,Swift Client,,,*,
io.swagger.codegen.languages.SymfonyServerCodegen,SERVER,php-symfony,Symfony Server,,,*,
io.swagger.codegen.languages.TizenClientCodegen,CLIENT,tizen,Tizen Client,,,*,
io.swagger.codegen.languages.TypeScriptAngularClientCodegen,CLIENT,typescript-angular,Type Script Angular Client,,,*,
io.swagger.codegen.languages.TypeScriptAngularJsClientCodegen,CLIENT,typescript-angularjs,Type Script Angular Js Client,,,*,
io.swagger.codegen.languages.TypeScriptAureliaClientCodegen,CLIENT,typescript-aurelia,Type Script Aurelia Client,,,*,
io.swagger.codegen.languages.TypeScriptFetchClientCodegen,CLIENT,typescript-fetch,Type Script Fetch Client,,,*,
io.swagger.codegen.languages.TypeScriptJqueryClientCodegen,CLIENT,typescript-jquery,Type Script Jquery Client,,,*,
io.swagger.codegen.languages.TypeScriptNodeClientCodegen,CLIENT,typescript-node,Type Script Node Client,,,*,
io.swagger.codegen.languages.UndertowCodegen,SERVER,undertow,Undertow Server,,,*,
io.swagger.codegen.languages.ZendExpressivePathHandlerServerCodegen,SERVER,ze-ph,Zend Expressive Path Handler Server,,,*,
