ClassName,Name,Description,DefaultValue,Required
io.swagger.codegen.v3.generators.dotnet.CSharpClientCodegen,nonPublicApi,Generates code with reduced access modifiers; allows embedding elsewhere without exposing non-public API calls to consumers.,,
io.swagger.codegen.v3.generators.dotnet.CSharpClientCodegen,allowUnicodeIdentifiers,"boolean, toggles whether unicode identifiers are allowed in names or not, default is false",,
io.swagger.codegen.v3.generators.dotnet.CSharpClientCodegen,netCoreProjectFile,Use the new format (.NET Core) for .NET project files (.csproj).,,
io.swagger.codegen.v3.generators.dotnet.CSharpClientCodegen,validatable,Generates self-validatable models.,,
io.swagger.codegen.v3.generators.dotnet.CsharpDotNet2ClientCodegen,packageName,C# package name (convention: Camel.Case).,,
io.swagger.codegen.v3.generators.dotnet.CsharpDotNet2ClientCodegen,packageVersion,C# package version.,,
io.swagger.codegen.v3.generators.dotnet.CsharpDotNet2ClientCodegen,clientPackage,C# client package name (convention: Camel.Case).,,
io.swagger.codegen.v3.generators.html.StaticDocCodegen,sortParamsByRequiredFlag,Sort method arguments to place required parameters before optional parameters.,,
io.swagger.codegen.v3.generators.html.StaticDocCodegen,ensureUniqueParams,Whether to ensure parameter names are unique in an operation (rename parameters that are not).,,
io.swagger.codegen.v3.generators.html.StaticDocCodegen,allowUnicodeIdentifiers,"boolean, toggles whether unicode identifiers are allowed in names or not, default is false",,
io.swagger.codegen.v3.generators.html.StaticDocCodegen,invokerPackage,root package for generated code,,
io.swagger.codegen.v3.generators.html.StaticDocCodegen,groupId,groupId in generated pom.xml,,
io.swagger.codegen.v3.generators.html.StaticDocCodegen,artifactId,artifactId in generated pom.xml,,
io.swagger.codegen.v3.generators.html.StaticDocCodegen,artifactVersion,artifact version in generated pom.xml,,
io.swagger.codegen.v3.generators.html.StaticHtml2Codegen,sortParamsByRequiredFlag,Sort method arguments to place required parameters before optional parameters.,,
io.swagger.codegen.v3.generators.html.StaticHtml2Codegen,ensureUniqueParams,Whether to ensure parameter names are unique in an operation (rename parameters that are not).,,
io.swagger.codegen.v3.generators.html.StaticHtml2Codegen,allowUnicodeIdentifiers,"boolean, toggles whether unicode identifiers are allowed in names or not, default is false",,
io.swagger.codegen.v3.generators.html.StaticHtml2Codegen,appName,short name of the application,,
io.swagger.codegen.v3.generators.html.StaticHtml2Codegen,appDescription,description of the application,,
io.swagger.codegen.v3.generators.html.StaticHtml2Codegen,infoUrl,a URL where users can get more information about the application,,
io.swagger.codegen.v3.generators.html.StaticHtml2Codegen,infoEmail,an email address to contact for inquiries about the application,,
io.swagger.codegen.v3.generators.html.StaticHtml2Codegen,licenseInfo,a short description of the license,,
io.swagger.codegen.v3.generators.html.StaticHtml2Codegen,licenseUrl,a URL pointing to the full license,,
io.swagger.codegen.v3.generators.html.StaticHtml2Codegen,invokerPackage,root package for generated code,,
io.swagger.codegen.v3.generators.html.StaticHtml2Codegen,phpInvokerPackage,root package for generated php code,,
io.swagger.codegen.v3.generators.html.StaticHtml2Codegen,perlModuleName,root module name for generated perl code,,
io.swagger.codegen.v3.generators.html.StaticHtml2Codegen,pythonPackageName,package name for generated python code,,
io.swagger.codegen.v3.generators.html.StaticHtml2Codegen,packageName,C# package name,,
io.swagger.codegen.v3.generators.html.StaticHtml2Codegen,groupId,groupId in generated pom.xml,,
io.swagger.codegen.v3.generators.html.StaticHtml2Codegen,artifactId,artifactId in generated pom.xml,,
io.swagger.codegen.v3.generators.html.StaticHtml2Codegen,artifactVersion,artifact version in generated pom.xml,,
io.swagger.codegen.v3.generators.html.StaticHtmlCodegen,sortParamsByRequiredFlag,Sort method arguments to place required parameters before optional parameters.,,
io.swagger.codegen.v3.generators.html.StaticHtmlCodegen,ensureUniqueParams,Whether to ensure parameter names are unique in an operation (rename parameters that are not).,,
io.swagger.codegen.v3.generators.html.StaticHtmlCodegen,allowUnicodeIdentifiers,"boolean, toggles whether unicode identifiers are allowed in names or not, default is false",,
io.swagger.codegen.v3.generators.html.StaticHtmlCodegen,appName,short name of the application,,
io.swagger.codegen.v3.generators.html.StaticHtmlCodegen,appDescription,description of the application,,
io.swagger.codegen.v3.generators.html.StaticHtmlCodegen,infoUrl,a URL where users can get more information about the application,,
io.swagger.codegen.v3.generators.html.StaticHtmlCodegen,infoEmail,an email address to contact for inquiries about the application,,
io.swagger.codegen.v3.generators.html.StaticHtmlCodegen,licenseInfo,a short description of the license,,
io.swagger.codegen.v3.generators.html.StaticHtmlCodegen,licenseUrl,a URL pointing to the full license,,
io.swagger.codegen.v3.generators.html.StaticHtmlCodegen,invokerPackage,root package for generated code,,
io.swagger.codegen.v3.generators.html.StaticHtmlCodegen,groupId,groupId in generated pom.xml,,
io.swagger.codegen.v3.generators.html.StaticHtmlCodegen,artifactId,artifactId in generated pom.xml,,
io.swagger.codegen.v3.generators.html.StaticHtmlCodegen,artifactVersion,artifact version in generated pom.xml,,
io.swagger.codegen.v3.generators.java.JavaCXFClientCodegen,sortParamsByRequiredFlag,Sort method arguments to place required parameters before optional parameters.,,
io.swagger.codegen.v3.generators.java.JavaCXFClientCodegen,ensureUniqueParams,Whether to ensure parameter names are unique in an operation (rename parameters that are not).,,
io.swagger.codegen.v3.generators.java.JavaCXFClientCodegen,allowUnicodeIdentifiers,"boolean, toggles whether unicode identifiers are allowed in names or not, default is false",,
io.swagger.codegen.v3.generators.java.JavaCXFClientCodegen,modelPackage,package for generated models,,
io.swagger.codegen.v3.generators.java.JavaCXFClientCodegen,apiPackage,package for generated api classes,,
io.swagger.codegen.v3.generators.java.JavaCXFClientCodegen,invokerPackage,root package for generated code,,
io.swagger.codegen.v3.generators.java.JavaCXFClientCodegen,groupId,groupId in generated pom.xml,,
io.swagger.codegen.v3.generators.java.JavaCXFClientCodegen,artifactId,artifactId in generated pom.xml,,
io.swagger.codegen.v3.generators.java.JavaCXFClientCodegen,artifactVersion,artifact version in generated pom.xml,,
io.swagger.codegen.v3.generators.java.JavaCXFClientCodegen,artifactUrl,artifact URL in generated pom.xml,,
io.swagger.codegen.v3.generators.java.JavaCXFClientCodegen,artifactDescription,artifact description in generated pom.xml,,
io.swagger.codegen.v3.generators.java.JavaCXFClientCodegen,scmConnection,SCM connection in generated pom.xml,,
io.swagger.codegen.v3.generators.java.JavaCXFClientCodegen,scmDeveloperConnection,SCM developer connection in generated pom.xml,,
io.swagger.codegen.v3.generators.java.JavaCXFClientCodegen,scmUrl,SCM URL in generated pom.xml,,
io.swagger.codegen.v3.generators.java.JavaCXFClientCodegen,developerName,developer name in generated pom.xml,,
io.swagger.codegen.v3.generators.java.JavaCXFClientCodegen,developerEmail,developer email in generated pom.xml,,
io.swagger.codegen.v3.generators.java.JavaCXFClientCodegen,developerOrganization,developer organization in generated pom.xml,,
io.swagger.codegen.v3.generators.java.JavaCXFClientCodegen,developerOrganizationUrl,developer organization URL in generated pom.xml,,
io.swagger.codegen.v3.generators.java.JavaCXFClientCodegen,licenseName,The name of the license,,
io.swagger.codegen.v3.generators.java.JavaCXFClientCodegen,licenseUrl,The URL of the license,,
io.swagger.codegen.v3.generators.java.JavaCXFClientCodegen,sourceFolder,source folder for generated code,,
io.swagger.codegen.v3.generators.java.JavaCXFClientCodegen,localVariablePrefix,prefix for generated code members and local variables,,
io.swagger.codegen.v3.generators.java.JavaCXFClientCodegen,serializableModel,"boolean - toggle ""implements Serializable"" for generated models",,
io.swagger.codegen.v3.generators.java.JavaCXFClientCodegen,bigDecimalAsString,Treat BigDecimal values as Strings to avoid precision loss.,,
io.swagger.codegen.v3.generators.java.JavaCXFClientCodegen,fullJavaUtil,whether to use fully qualified name for classes under java.util. This option only works for Java API client,,
io.swagger.codegen.v3.generators.java.JavaCXFClientCodegen,hideGenerationTimestamp,Hides the generation timestamp when files are generated.,,
io.swagger.codegen.v3.generators.java.JavaCXFClientCodegen,withXml,whether to include support for application/xml content type and include XML annotations in the model (works with libraries that provide support for JSON and XML),,
io.swagger.codegen.v3.generators.java.JavaCXFClientCodegen,useOas2,use OpenAPI v2.0 (Swagger 1.5.x),,
io.swagger.codegen.v3.generators.java.JavaCXFClientCodegen,dateLibrary,Option. Date library to use,,
io.swagger.codegen.v3.generators.java.JavaCXFClientCodegen,java8,Option. Use Java8 classes instead of third party equivalents,,
io.swagger.codegen.v3.generators.java.JavaCXFClientCodegen,useBeanValidation,Use BeanValidation API annotations,,
io.swagger.codegen.v3.generators.java.JavaCXFClientCodegen,useGzipFeatureForTests,Use Gzip Feature for tests,,
io.swagger.codegen.v3.generators.java.JavaCXFClientCodegen,useLoggingFeatureForTests,Use Logging Feature for tests,,
io.swagger.codegen.v3.generators.java.JavaCXFClientCodegen,useGenericResponse,Use generic response,,
io.swagger.codegen.v3.generators.java.JavaCXFServerCodegen,sortParamsByRequiredFlag,Sort method arguments to place required parameters before optional parameters.,,
io.swagger.codegen.v3.generators.java.JavaCXFServerCodegen,ensureUniqueParams,Whether to ensure parameter names are unique in an operation (rename parameters that are not).,,
io.swagger.codegen.v3.generators.java.JavaCXFServerCodegen,allowUnicodeIdentifiers,"boolean, toggles whether unicode identifiers are allowed in names or not, default is false",,
io.swagger.codegen.v3.generators.java.JavaCXFServerCodegen,modelPackage,package for generated models,,
io.swagger.codegen.v3.generators.java.JavaCXFServerCodegen,apiPackage,package for generated api classes,,
io.swagger.codegen.v3.generators.java.JavaCXFServerCodegen,invokerPackage,root package for generated code,,
io.swagger.codegen.v3.generators.java.JavaCXFServerCodegen,groupId,groupId in generated pom.xml,,
io.swagger.codegen.v3.generators.java.JavaCXFServerCodegen,artifactId,artifactId in generated pom.xml,,
io.swagger.codegen.v3.generators.java.JavaCXFServerCodegen,artifactVersion,artifact version in generated pom.xml,,
io.swagger.codegen.v3.generators.java.JavaCXFServerCodegen,artifactUrl,artifact URL in generated pom.xml,,
io.swagger.codegen.v3.generators.java.JavaCXFServerCodegen,artifactDescription,artifact description in generated pom.xml,,
io.swagger.codegen.v3.generators.java.JavaCXFServerCodegen,scmConnection,SCM connection in generated pom.xml,,
io.swagger.codegen.v3.generators.java.JavaCXFServerCodegen,scmDeveloperConnection,SCM developer connection in generated pom.xml,,
io.swagger.codegen.v3.generators.java.JavaCXFServerCodegen,scmUrl,SCM URL in generated pom.xml,,
io.swagger.codegen.v3.generators.java.JavaCXFServerCodegen,developerName,developer name in generated pom.xml,,
io.swagger.codegen.v3.generators.java.JavaCXFServerCodegen,developerEmail,developer email in generated pom.xml,,
io.swagger.codegen.v3.generators.java.JavaCXFServerCodegen,developerOrganization,developer organization in generated pom.xml,,
io.swagger.codegen.v3.generators.java.JavaCXFServerCodegen,developerOrganizationUrl,developer organization URL in generated pom.xml,,
io.swagger.codegen.v3.generators.java.JavaCXFServerCodegen,licenseName,The name of the license,,
io.swagger.codegen.v3.generators.java.JavaCXFServerCodegen,licenseUrl,The URL of the license,,
io.swagger.codegen.v3.generators.java.JavaCXFServerCodegen,sourceFolder,source folder for generated code,,
io.swagger.codegen.v3.generators.java.JavaCXFServerCodegen,localVariablePrefix,prefix for generated code members and local variables,,
io.swagger.codegen.v3.generators.java.JavaCXFServerCodegen,serializableModel,"boolean - toggle ""implements Serializable"" for generated models",,
io.swagger.codegen.v3.generators.java.JavaCXFServerCodegen,bigDecimalAsString,Treat BigDecimal values as Strings to avoid precision loss.,,
io.swagger.codegen.v3.generators.java.JavaCXFServerCodegen,fullJavaUtil,whether to use fully qualified name for classes under java.util. This option only works for Java API client,,
io.swagger.codegen.v3.generators.java.JavaCXFServerCodegen,hideGenerationTimestamp,Hides the generation timestamp when files are generated.,,
io.swagger.codegen.v3.generators.java.JavaCXFServerCodegen,withXml,whether to include support for application/xml content type and include XML annotations in the model (works with libraries that provide support for JSON and XML),,
io.swagger.codegen.v3.generators.java.JavaCXFServerCodegen,useOas2,use OpenAPI v2.0 (Swagger 1.5.x),,
io.swagger.codegen.v3.generators.java.JavaCXFServerCodegen,dateLibrary,Option. Date library to use,,
io.swagger.codegen.v3.generators.java.JavaCXFServerCodegen,java8,Option. Use Java8 classes instead of third party equivalents,,
io.swagger.codegen.v3.generators.java.JavaCXFServerCodegen,implFolder,folder for generated implementation code,,
io.swagger.codegen.v3.generators.java.JavaCXFServerCodegen,title,a title describing the application,,
io.swagger.codegen.v3.generators.java.JavaCXFServerCodegen,useBeanValidation,Use BeanValidation API annotations,,
io.swagger.codegen.v3.generators.java.JavaCXFServerCodegen,serverPort,The port on which the server should be started,,
io.swagger.codegen.v3.generators.java.JavaCXFServerCodegen,generateSpringApplication,Generate Spring application,,
io.swagger.codegen.v3.generators.java.JavaCXFServerCodegen,useSpringAnnotationConfig,Use Spring Annotation Config,,
io.swagger.codegen.v3.generators.java.JavaCXFServerCodegen,useSwaggerFeature,Use Swagger Feature,,
io.swagger.codegen.v3.generators.java.JavaCXFServerCodegen,useSwaggerUI,Use Swagger UI,,
io.swagger.codegen.v3.generators.java.JavaCXFServerCodegen,useWadlFeature,Use WADL Feature,,
io.swagger.codegen.v3.generators.java.JavaCXFServerCodegen,useMultipartFeature,Use Multipart Feature,,
io.swagger.codegen.v3.generators.java.JavaCXFServerCodegen,useGzipFeature,Use Gzip Feature,,
io.swagger.codegen.v3.generators.java.JavaCXFServerCodegen,useGzipFeatureForTests,Use Gzip Feature for tests,,
io.swagger.codegen.v3.generators.java.JavaCXFServerCodegen,useBeanValidationFeature,Use BeanValidation Feature,,
io.swagger.codegen.v3.generators.java.JavaCXFServerCodegen,useLoggingFeature,Use Logging Feature,,
io.swagger.codegen.v3.generators.java.JavaCXFServerCodegen,useLoggingFeatureForTests,Use Logging Feature for tests,,
io.swagger.codegen.v3.generators.java.JavaCXFServerCodegen,generateSpringBootApplication,Generate Spring Boot application,,
io.swagger.codegen.v3.generators.java.JavaCXFServerCodegen,generateJbossDeploymentDescriptor,Generate Jboss Deployment Descriptor,,
io.swagger.codegen.v3.generators.java.JavaCXFServerCodegen,addConsumesProducesJson,Add @Consumes/@Produces Json to API interface,,
io.swagger.codegen.v3.generators.java.JavaCXFServerCodegen,useAnnotatedBasePath,Use @Path annotations for basePath,,
io.swagger.codegen.v3.generators.java.JavaCXFServerCodegen,generateNonSpringApplication,Generate non-Spring application,,
io.swagger.codegen.v3.generators.java.JavaCXFServerCodegen,useGenericResponse,Use generic response,,
io.swagger.codegen.v3.generators.java.JavaClientCodegen,sortParamsByRequiredFlag,Sort method arguments to place required parameters before optional parameters.,,
io.swagger.codegen.v3.generators.java.JavaClientCodegen,ensureUniqueParams,Whether to ensure parameter names are unique in an operation (rename parameters that are not).,,
io.swagger.codegen.v3.generators.java.JavaClientCodegen,allowUnicodeIdentifiers,"boolean, toggles whether unicode identifiers are allowed in names or not, default is false",,
io.swagger.codegen.v3.generators.java.JavaClientCodegen,modelPackage,package for generated models,,
io.swagger.codegen.v3.generators.java.JavaClientCodegen,apiPackage,package for generated api classes,,
io.swagger.codegen.v3.generators.java.JavaClientCodegen,invokerPackage,root package for generated code,,
io.swagger.codegen.v3.generators.java.JavaClientCodegen,groupId,groupId in generated pom.xml,,
io.swagger.codegen.v3.generators.java.JavaClientCodegen,artifactId,artifactId in generated pom.xml,,
io.swagger.codegen.v3.generators.java.JavaClientCodegen,artifactVersion,artifact version in generated pom.xml,,
io.swagger.codegen.v3.generators.java.JavaClientCodegen,artifactUrl,artifact URL in generated pom.xml,,
io.swagger.codegen.v3.generators.java.JavaClientCodegen,artifactDescription,artifact description in generated pom.xml,,
io.swagger.codegen.v3.generators.java.JavaClientCodegen,scmConnection,SCM connection in generated pom.xml,,
io.swagger.codegen.v3.generators.java.JavaClientCodegen,scmDeveloperConnection,SCM developer connection in generated pom.xml,,
io.swagger.codegen.v3.generators.java.JavaClientCodegen,scmUrl,SCM URL in generated pom.xml,,
io.swagger.codegen.v3.generators.java.JavaClientCodegen,developerName,developer name in generated pom.xml,,
io.swagger.codegen.v3.generators.java.JavaClientCodegen,developerEmail,developer email in generated pom.xml,,
io.swagger.codegen.v3.generators.java.JavaClientCodegen,developerOrganization,developer organization in generated pom.xml,,
io.swagger.codegen.v3.generators.java.JavaClientCodegen,developerOrganizationUrl,developer organization URL in generated pom.xml,,
io.swagger.codegen.v3.generators.java.JavaClientCodegen,licenseName,The name of the license,,
io.swagger.codegen.v3.generators.java.JavaClientCodegen,licenseUrl,The URL of the license,,
io.swagger.codegen.v3.generators.java.JavaClientCodegen,sourceFolder,source folder for generated code,,
io.swagger.codegen.v3.generators.java.JavaClientCodegen,localVariablePrefix,prefix for generated code members and local variables,,
io.swagger.codegen.v3.generators.java.JavaClientCodegen,serializableModel,"boolean - toggle ""implements Serializable"" for generated models",,
io.swagger.codegen.v3.generators.java.JavaClientCodegen,bigDecimalAsString,Treat BigDecimal values as Strings to avoid precision loss.,,
io.swagger.codegen.v3.generators.java.JavaClientCodegen,fullJavaUtil,whether to use fully qualified name for classes under java.util. This option only works for Java API client,,
io.swagger.codegen.v3.generators.java.JavaClientCodegen,hideGenerationTimestamp,Hides the generation timestamp when files are generated.,,
io.swagger.codegen.v3.generators.java.JavaClientCodegen,withXml,whether to include support for application/xml content type and include XML annotations in the model (works with libraries that provide support for JSON and XML),,
io.swagger.codegen.v3.generators.java.JavaClientCodegen,useOas2,use OpenAPI v2.0 (Swagger 1.5.x),,
io.swagger.codegen.v3.generators.java.JavaClientCodegen,dateLibrary,Option. Date library to use,,
io.swagger.codegen.v3.generators.java.JavaClientCodegen,java8,Option. Use Java8 classes instead of third party equivalents,,
io.swagger.codegen.v3.generators.java.JavaClientCodegen,useRxJava,Whether to use the RxJava adapter with the retrofit2 library.,,
io.swagger.codegen.v3.generators.java.JavaClientCodegen,useRxJava2,Whether to use the RxJava2 adapter with the retrofit2 library.,,
io.swagger.codegen.v3.generators.java.JavaClientCodegen,parcelableModel,Whether to generate models for Android that implement Parcelable with the okhttp-gson library.,,
io.swagger.codegen.v3.generators.java.JavaClientCodegen,usePlayWS,Use Play! Async HTTP client (Play WS API),,
io.swagger.codegen.v3.generators.java.JavaClientCodegen,playVersion,"Version of Play! Framework (possible values ""play24"", ""play25"")",,
io.swagger.codegen.v3.generators.java.JavaClientCodegen,supportJava6,Whether to support Java6 with the Jersey1 library.,,
io.swagger.codegen.v3.generators.java.JavaClientCodegen,useBeanValidation,Use BeanValidation API annotations,,
io.swagger.codegen.v3.generators.java.JavaClientCodegen,performBeanValidation,Perform BeanValidation,,
io.swagger.codegen.v3.generators.java.JavaClientCodegen,useGzipFeature,Send gzip-encoded requests,,
io.swagger.codegen.v3.generators.java.JavaClientCodegen,useRuntimeException,Use RuntimeException instead of Exception,,
io.swagger.codegen.v3.generators.java.JavaClientCodegen,library,library template (sub-template) to use,,
io.swagger.codegen.v3.generators.java.JavaInflectorServerCodegen,sortParamsByRequiredFlag,Sort method arguments to place required parameters before optional parameters.,,
io.swagger.codegen.v3.generators.java.JavaInflectorServerCodegen,ensureUniqueParams,Whether to ensure parameter names are unique in an operation (rename parameters that are not).,,
io.swagger.codegen.v3.generators.java.JavaInflectorServerCodegen,allowUnicodeIdentifiers,"boolean, toggles whether unicode identifiers are allowed in names or not, default is false",,
io.swagger.codegen.v3.generators.java.JavaInflectorServerCodegen,modelPackage,package for generated models,,
io.swagger.codegen.v3.generators.java.JavaInflectorServerCodegen,apiPackage,package for generated api classes,,
io.swagger.codegen.v3.generators.java.JavaInflectorServerCodegen,invokerPackage,root package for generated code,,
io.swagger.codegen.v3.generators.java.JavaInflectorServerCodegen,groupId,groupId in generated pom.xml,,
io.swagger.codegen.v3.generators.java.JavaInflectorServerCodegen,artifactId,artifactId in generated pom.xml,,
io.swagger.codegen.v3.generators.java.JavaInflectorServerCodegen,artifactVersion,artifact version in generated pom.xml,,
io.swagger.codegen.v3.generators.java.JavaInflectorServerCodegen,artifactUrl,artifact URL in generated pom.xml,,
io.swagger.codegen.v3.generators.java.JavaInflectorServerCodegen,artifactDescription,artifact description in generated pom.xml,,
io.swagger.codegen.v3.generators.java.JavaInflectorServerCodegen,scmConnection,SCM connection in generated pom.xml,,
io.swagger.codegen.v3.generators.java.JavaInflectorServerCodegen,scmDeveloperConnection,SCM developer connection in generated pom.xml,,
io.swagger.codegen.v3.generators.java.JavaInflectorServerCodegen,scmUrl,SCM URL in generated pom.xml,,
io.swagger.codegen.v3.generators.java.JavaInflectorServerCodegen,developerName,developer name in generated pom.xml,,
io.swagger.codegen.v3.generators.java.JavaInflectorServerCodegen,developerEmail,developer email in generated pom.xml,,
io.swagger.codegen.v3.generators.java.JavaInflectorServerCodegen,developerOrganization,developer organization in generated pom.xml,,
io.swagger.codegen.v3.generators.java.JavaInflectorServerCodegen,developerOrganizationUrl,developer organization URL in generated pom.xml,,
io.swagger.codegen.v3.generators.java.JavaInflectorServerCodegen,licenseName,The name of the license,,
io.swagger.codegen.v3.generators.java.JavaInflectorServerCodegen,licenseUrl,The URL of the license,,
io.swagger.codegen.v3.generators.java.JavaInflectorServerCodegen,sourceFolder,source folder for generated code,,
io.swagger.codegen.v3.generators.java.JavaInflectorServerCodegen,localVariablePrefix,prefix for generated code members and local variables,,
io.swagger.codegen.v3.generators.java.JavaInflectorServerCodegen,serializableModel,"boolean - toggle ""implements Serializable"" for generated models",,
io.swagger.codegen.v3.generators.java.JavaInflectorServerCodegen,bigDecimalAsString,Treat BigDecimal values as Strings to avoid precision loss.,,
io.swagger.codegen.v3.generators.java.JavaInflectorServerCodegen,fullJavaUtil,whether to use fully qualified name for classes under java.util. This option only works for Java API client,,
io.swagger.codegen.v3.generators.java.JavaInflectorServerCodegen,hideGenerationTimestamp,Hides the generation timestamp when files are generated.,,
io.swagger.codegen.v3.generators.java.JavaInflectorServerCodegen,withXml,whether to include support for application/xml content type and include XML annotations in the model (works with libraries that provide support for JSON and XML),,
io.swagger.codegen.v3.generators.java.JavaInflectorServerCodegen,useOas2,use OpenAPI v2.0 (Swagger 1.5.x),,
io.swagger.codegen.v3.generators.java.JavaInflectorServerCodegen,dateLibrary,Option. Date library to use,,
io.swagger.codegen.v3.generators.java.JavaInflectorServerCodegen,java8,Option. Use Java8 classes instead of third party equivalents,,
io.swagger.codegen.v3.generators.java.JavaJAXRSCXFCDIServerCodegen,sortParamsByRequiredFlag,Sort method arguments to place required parameters before optional parameters.,,
io.swagger.codegen.v3.generators.java.JavaJAXRSCXFCDIServerCodegen,ensureUniqueParams,Whether to ensure parameter names are unique in an operation (rename parameters that are not).,,
io.swagger.codegen.v3.generators.java.JavaJAXRSCXFCDIServerCodegen,allowUnicodeIdentifiers,"boolean, toggles whether unicode identifiers are allowed in names or not, default is false",,
io.swagger.codegen.v3.generators.java.JavaJAXRSCXFCDIServerCodegen,modelPackage,package for generated models,,
io.swagger.codegen.v3.generators.java.JavaJAXRSCXFCDIServerCodegen,apiPackage,package for generated api classes,,
io.swagger.codegen.v3.generators.java.JavaJAXRSCXFCDIServerCodegen,invokerPackage,root package for generated code,,
io.swagger.codegen.v3.generators.java.JavaJAXRSCXFCDIServerCodegen,groupId,groupId in generated pom.xml,,
io.swagger.codegen.v3.generators.java.JavaJAXRSCXFCDIServerCodegen,artifactId,artifactId in generated pom.xml,,
io.swagger.codegen.v3.generators.java.JavaJAXRSCXFCDIServerCodegen,artifactVersion,artifact version in generated pom.xml,,
io.swagger.codegen.v3.generators.java.JavaJAXRSCXFCDIServerCodegen,artifactUrl,artifact URL in generated pom.xml,,
io.swagger.codegen.v3.generators.java.JavaJAXRSCXFCDIServerCodegen,artifactDescription,artifact description in generated pom.xml,,
io.swagger.codegen.v3.generators.java.JavaJAXRSCXFCDIServerCodegen,scmConnection,SCM connection in generated pom.xml,,
io.swagger.codegen.v3.generators.java.JavaJAXRSCXFCDIServerCodegen,scmDeveloperConnection,SCM developer connection in generated pom.xml,,
io.swagger.codegen.v3.generators.java.JavaJAXRSCXFCDIServerCodegen,scmUrl,SCM URL in generated pom.xml,,
io.swagger.codegen.v3.generators.java.JavaJAXRSCXFCDIServerCodegen,developerName,developer name in generated pom.xml,,
io.swagger.codegen.v3.generators.java.JavaJAXRSCXFCDIServerCodegen,developerEmail,developer email in generated pom.xml,,
io.swagger.codegen.v3.generators.java.JavaJAXRSCXFCDIServerCodegen,developerOrganization,developer organization in generated pom.xml,,
io.swagger.codegen.v3.generators.java.JavaJAXRSCXFCDIServerCodegen,developerOrganizationUrl,developer organization URL in generated pom.xml,,
io.swagger.codegen.v3.generators.java.JavaJAXRSCXFCDIServerCodegen,licenseName,The name of the license,,
io.swagger.codegen.v3.generators.java.JavaJAXRSCXFCDIServerCodegen,licenseUrl,The URL of the license,,
